timestamp,acc_x,acc_y,acc_z
0.0,2.6000,9.6600,1.0351
50.0,2.6800,9.5300,0.5040
100.0,3.4900,8.8900,0.7627
150.0,3.6400,9.3800,0.9262
200.0,2.9100,9.3400,1.0351
250.0,3.1500,9.4300,0.8853
300.0,3.1500,9.5300,0.8445
350.0,2.9100,9.7200,0.8445
400.0,3.2100,9.3800,0.9262
450.0,3.1500,9.4300,0.7627
500.0,3.0200,9.5100,0.4222
550.0,2.6800,9.1500,1.1441
600.0,1.8400,9.6200,1.6481
650.0,2.7900,9.2300,1.7298
700.0,2.6000,9.5100,1.0351
750.0,2.8300,9.3800,1.0760
800.0,2.9600,9.3400,1.2667
850.0,2.8700,9.4700,1.3757
900.0,2.9600,9.3400,1.3348
950.0,3.4100,9.3400,0.9262
1000.0,3.2600,9.2800,1.1850
1050.0,2.9100,9.4300,1.3076
1100.0,3.0600,9.7000,1.6889
1150.0,3.3000,9.0000,1.6481
1200.0,2.8700,9.0800,0.7627
1250.0,3.4500,9.0000,1.2258
1300.0,3.3400,9.5300,1.9886
1350.0,2.2200,9.5800,1.2667
1400.0,3.3000,9.0800,1.2667
1450.0,3.3800,9.1900,1.3757
1500.0,2.7900,9.4700,1.4574
1550.0,3.1100,9.3000,1.4574
1600.0,3.1100,9.2800,1.2667
1650.0,3.2600,9.2300,1.3757
1700.0,3.0600,9.3000,1.3348
1750.0,2.9800,9.3800,1.3757
1800.0,3.1500,9.2300,1.3348
1850.0,3.1700,9.2300,1.3348
1900.0,3.1100,9.3400,1.4574
1950.0,3.0200,9.2800,1.2667
2000.0,3.1100,9.2800,1.2667
2050.0,3.1500,9.2800,1.3757
2100.0,3.1100,9.2800,1.3076
2150.0,3.2100,9.2300,1.3076
2200.0,3.0200,9.3800,1.3348
2250.0,3.1500,9.2300,1.3348
2300.0,3.1500,9.2300,1.3757
2350.0,3.0600,9.3400,1.3348
2400.0,3.0600,9.2800,1.2667
2450.0,3.1500,9.3000,1.2667
2500.0,3.1700,9.2800,1.3076
2550.0,3.2100,9.3000,1.1850
2600.0,3.1700,9.3400,1.3076
2650.0,3.1700,9.3800,1.2667
2700.0,3.1500,9.2800,1.2258
2750.0,3.3400,9.2300,1.3076
2800.0,3.1100,9.3400,1.2667
2850.0,3.1500,9.2800,1.2258
2900.0,3.1100,9.3800,1.2258
2950.0,3.2600,9.2800,1.3348
3000.0,3.1700,9.2800,1.2667
3050.0,3.1500,9.3000,1.3348
3100.0,3.1700,9.3000,1.2258
3150.0,3.1100,9.2300,1.2667
3200.0,3.3400,9.2800,1.3348
3250.0,3.1500,9.4300,1.3348
3300.0,3.1700,9.2800,1.2258
3350.0,3.2600,9.2800,1.2667
3400.0,3.2100,9.3400,1.3757
3450.0,3.1500,9.3800,1.2667
3500.0,3.1500,9.3800,1.2258
3550.0,3.1500,9.2800,1.3348
3600.0,3.1500,9.2800,1.3076
3650.0,3.0200,9.2800,1.1850
3700.0,3.0600,9.3000,1.3757
3750.0,3.4100,9.0800,1.4982
3800.0,3.2600,9.0400,1.3757
3850.0,3.0200,9.4700,1.3757
3900.0,2.8700,9.6600,1.2667
3950.0,3.1100,9.3800,0.9262
4000.0,3.3000,9.2300,1.1169
4050.0,3.4900,9.1100,1.4574
4100.0,3.4100,9.1100,1.4165
4150.0,3.2100,9.2800,1.3076
4200.0,2.8300,9.5100,1.2258
4250.0,3.0600,9.3400,1.0351
