timestamp,acc_x,acc_y,acc_z
0.0,0.3800,5.7100,3.5958
50.0,0.1500,6.2400,3.1054
100.0,0.9900,6.2800,4.6037
150.0,3.1700,7.0600,4.0589
200.0,1.3100,6.4000,3.5277
250.0,-0.5700,7.1600,2.7241
300.0,-1.0400,8.2000,3.6366
350.0,-1.8800,9.7200,4.6718
400.0,-1.8800,9.7200,4.6718
450.0,1.3100,7.6300,-3.3370
500.0,6.3600,17.1600,1.2258
550.0,0.4600,11.8400,2.7241
600.0,-1.5700,10.1200,1.6072
650.0,2.3400,8.3900,0.5312
700.0,0.7600,5.5600,3.6366
750.0,3.3800,4.2500,3.2553
800.0,4.6300,5.7500,4.3313
850.0,2.6000,9.1500,2.2610
900.0,-1.9200,13.0600,0.5312
950.0,-2.6000,19.5700,3.7592
1000.0,-0.0800,15.3200,5.7478
1050.0,4.1800,8.1200,5.3664
1100.0,-0.0800,2.1100,0.5721
1150.0,-0.9500,-0.9500,-0.8853
1200.0,-0.7200,-0.1900,0.6538
1250.0,-1.6100,10.8000,4.2495
1300.0,-0.9900,8.5800,3.9908
1350.0,-3.0200,15.4300,-0.5721
1400.0,9.0800,18.6600,-1.5255
1450.0,0.6100,11.8400,3.5277
1500.0,-2.8300,11.3500,0.3814
1550.0,5.0500,10.1200,1.1850
1600.0,1.2700,2.4900,0.3133
1650.0,2.7600,5.2800,2.4517
1700.0,6.3200,4.4400,1.7298
1750.0,4.2100,10.3400,2.9829
1800.0,-0.3400,13.9500,2.4108
1850.0,-3.7600,19.0800,-0.2996
1900.0,0.4600,17.9200,9.7658
1950.0,6.2800,8.5000,1.9477
2000.0,-0.3000,2.1500,-1.3348
2050.0,-0.3000,-2.6400,0.2315
2100.0,1.5400,-2.5300,0.7627
2150.0,-1.2700,7.2100,5.7886
2200.0,-3.4100,10.0400,5.7886
2250.0,-4.1400,8.6200,3.7592
2300.0,-0.7200,19.5700,-2.1112
2350.0,5.8600,10.6500,2.9148
2400.0,0.2700,4.9900,-4.3313
2450.0,-0.3000,9.4700,-0.4222
2500.0,1.2300,4.9400,-0.2315
2550.0,2.7600,9.3400,3.6366
2600.0,6.6600,9.9200,0.8445
2650.0,4.4000,11.5600,1.7979
2700.0,2.0300,9.7700,0.8853
2750.0,0.6100,9.8900,0.0817
2800.0,-2.4900,18.0500,-1.1850
2850.0,0.5300,19.5700,5.3256
2900.0,0.5000,16.3200,7.9679
2950.0,0.0400,6.2800,3.9499
3000.0,-0.5000,-4.7500,-1.4165
3050.0,0.2300,-4.9400,-8.4991
3100.0,-0.7600,3.2100,4.9033
3150.0,-1.4600,16.0400,3.1054
3200.0,2.3000,7.1200,-5.4345
3250.0,3.4500,18.3500,5.3256
3300.0,10.0800,18.6200,8.5400
3350.0,2.3400,7.6300,2.2201
3400.0,-3.2100,6.0200,4.7126
3450.0,5.4100,-0.9100,-1.1850
3500.0,0.4600,-1.2300,1.0760
3550.0,3.3800,5.5600,-1.7298
3600.0,-2.5600,19.5700,-0.7219
3650.0,-2.4500,19.5300,5.1349
3700.0,0.9900,13.8700,6.4016
3750.0,0.9300,4.1000,0.4631
3800.0,-0.8000,-6.8500,-3.1463
3850.0,-2.4900,-2.4900,-4.2495
3900.0,1.4200,8.5400,4.3721
3950.0,-4.7100,16.1700,-1.1169
4000.0,-4.7100,16.1700,-1.1169
4050.0,5.1800,15.4000,2.7241
4100.0,12.6400,12.7900,7.6274
4150.0,-1.1400,7.7800,4.8216
4200.0,1.4600,4.6700,-0.3405
4250.0,1.5400,-1.5700,-0.0000
4300.0,-0.1900,0.6500,-2.6832
4350.0,7.1600,17.4700,1.3348
4400.0,-3.1100,19.5300,6.6604
4450.0,0.5000,17.4300,8.1995
4500.0,0.4600,5.2400,3.4459
4550.0,0.0800,-3.5300,-1.9205
4600.0,-2.1100,-4.0200,-6.4288
4650.0,-0.1900,4.1800,2.2610
4700.0,-3.6400,13.5700,5.5571
4750.0,5.4300,6.2100,-3.4051
4800.0,2.2200,14.3700,0.8853
4850.0,15.1300,16.7800,10.6920
4900.0,-3.1700,6.0500,3.5685
4950.0,1.3100,6.3200,2.4108
5000.0,4.0200,-1.3300,0.2724
5050.0,0.4200,2.6400,-1.9205
5100.0,3.7200,6.5500,1.4165
5150.0,-5.9800,19.5700,7.7772
5200.0,1.3800,16.4400,8.8532
5250.0,3.6000,5.4100,5.3256
5300.0,-1.1200,-4.4400,-2.4108
5350.0,-0.8900,-2.9100,-5.6252
5400.0,2.6000,6.4400,1.1169
5450.0,-9.0400,17.2400,3.9908
5500.0,7.7000,5.1800,-1.6072
5550.0,6.7400,17.5400,4.8625
5600.0,11.3500,14.4100,9.8066
5650.0,-3.9500,9.0400,1.9886
5700.0,3.8300,4.2900,0.7627
5750.0,1.3300,-1.5000,0.2315
5800.0,-0.4600,2.9100,-2.4517
5850.0,7.4000,18.3100,-1.0351
5900.0,-3.3400,19.5700,7.5048
5950.0,1.3800,16.7400,8.3493
6000.0,-0.2300,5.2200,1.9477
6050.0,1.4200,-4.9000,-2.4517
6100.0,-2.9100,-3.5700,-8.8532
6150.0,-0.1500,6.0200,3.0646
6200.0,-4.5900,17.4300,2.9148
6250.0,9.2300,5.4300,0.5721
6300.0,7.0600,18.6600,1.3076
6350.0,7.4600,15.2400,8.4991
6400.0,-4.5900,7.8600,3.5685
6450.0,6.6300,2.4900,-0.8853
6500.0,-0.4200,0.2300,1.4574
6550.0,1.4200,1.2700,-2.3699
6600.0,2.0700,18.5400,-0.6538
6650.0,-0.2700,19.5700,8.0088
6700.0,3.1100,15.2100,8.5400
6750.0,1.7600,-0.3800,-1.7979
6800.0,-1.3300,-8.1600,-3.5277
6850.0,-4.4800,-0.7600,-2.5334
6900.0,3.2600,9.9600,4.9442
6950.0,-8.9200,14.1800,-3.2961
7000.0,10.9500,13.8200,9.7658
7050.0,7.3100,12.0700,-3.4868
7100.0,9.2300,13.1800,9.5342
7150.0,-8.1200,6.3200,2.3018
7200.0,7.7000,3.7200,0.4631
7250.0,1.4200,-2.3700,0.8853
7300.0,1.7600,8.3100,-1.3348
7350.0,-0.1100,19.5700,-0.7627
7400.0,-1.0800,18.7700,6.2381
7450.0,3.9900,10.9200,5.8295
7500.0,1.1400,-0.8900,-2.4925
7550.0,-2.1800,-7.8600,-7.2052
7600.0,-2.8300,3.4100,3.0237
7650.0,-0.5000,14.7500,6.0883
7700.0,5.1800,6.6600,-7.5457
7750.0,9.1500,18.7700,7.0553
7800.0,6.0500,19.4600,8.6625
7850.0,-2.0300,2.5300,5.3256
7900.0,5.4100,3.3800,-0.8036
7950.0,1.9900,-0.3800,0.8445
8000.0,3.2100,6.5500,-2.7513
8050.0,-3.1500,19.5700,-1.4165
8100.0,0.4200,19.3400,7.6274
8150.0,5.6000,12.7200,8.0496
8200.0,0.0400,-1.0400,-1.6889
8250.0,-2.5600,-10.1900,-8.2403
8300.0,-2.9800,0.6900,2.1793
8350.0,5.0100,15.5100,4.6037
8400.0,-0.5000,7.3500,-4.7126
8450.0,9.4700,15.4700,6.7421
8500.0,2.1100,18.9600,5.8567
8550.0,3.6000,6.0200,3.5277
8600.0,-3.4900,9.8500,1.9477
8650.0,4.9400,-0.6500,-0.2724
8700.0,-0.2300,1.4200,-0.8036
8750.0,3.9500,11.3000,1.8796
8800.0,-0.0800,19.5700,7.8862
8850.0,3.3000,13.8000,8.0496
8900.0,1.7300,7.3100,5.7886
8950.0,-1.7600,-3.4900,-1.8387
9000.0,-2.4100,-3.5700,-7.3550
9050.0,-0.7600,6.0900,3.7865
9100.0,-0.7200,17.2700,5.3664
9150.0,6.8200,6.1300,-4.4811
9200.0,6.5500,14.9800,5.4345
9250.0,9.8900,14.6700,9.3844
9300.0,-7.8900,6.9700,1.9205
9350.0,5.1300,3.2100,-0.2724
9400.0,1.4200,0.0800,1.1441
9450.0,4.7900,5.6000,-2.4108
9500.0,-3.3400,19.5700,-0.7219
9550.0,-0.1500,19.5000,7.1643
9600.0,5.9800,12.7600,7.1234
9650.0,0.9300,1.0800,1.6889
9700.0,1.4200,-8.7300,-4.0180
9750.0,-4.6700,0.0400,-4.3994
9800.0,2.4500,11.3700,6.0883
9850.0,-7.6300,15.5100,-0.0000
9900.0,12.4500,15.5500,5.0123
9950.0,2.2600,13.1000,-0.5040
10000.0,12.3400,14.9000,9.2755
10050.0,-5.2800,6.0900,3.0237
10100.0,5.6000,2.9800,-1.0760
10150.0,0.4600,-1.8400,0.9943
10200.0,1.5700,5.3700,-1.6889
10250.0,-0.6500,19.5700,1.2667
10300.0,-0.6500,19.5700,1.2667
10350.0,6.3200,12.9500,8.0496
10400.0,-0.3000,0.1100,1.3076
