timestamp,acc_x,acc_y,acc_z
0.0,4.2900,2.9800,8.2812
50.0,4.2100,2.9800,8.1177
100.0,4.2900,3.0200,8.1586
150.0,4.2900,2.8300,8.0769
200.0,4.2500,2.8700,8.1586
250.0,4.2500,2.8700,8.1177
300.0,4.3300,2.9600,8.1586
350.0,4.3300,2.9600,8.1586
400.0,4.2900,2.9100,8.1586
450.0,4.2500,2.9100,8.1586
500.0,4.2900,2.9100,8.1995
550.0,4.2500,2.8700,8.1995
600.0,4.3300,2.9100,8.1995
650.0,4.2900,2.9100,8.1995
700.0,4.2900,2.7600,8.0496
750.0,4.1800,2.9100,8.1995
800.0,4.1800,2.9100,8.1586
850.0,4.2900,2.9600,8.1177
900.0,4.3700,2.8700,8.0496
950.0,4.3300,3.0600,8.0496
1000.0,4.2500,3.1100,8.1995
1050.0,4.3300,2.9100,8.1177
1100.0,4.3300,2.9100,8.1177
1150.0,4.3700,3.0200,8.1177
1200.0,4.3300,3.0200,8.1995
1250.0,4.3300,2.9600,8.0769
1300.0,4.4400,2.9800,8.0769
1350.0,4.4000,2.9100,8.0769
1400.0,4.2500,2.9100,8.1177
1450.0,4.2500,2.9800,8.1177
1500.0,4.3300,2.8300,8.0088
1550.0,4.2900,3.0200,8.0769
1600.0,4.2100,3.1500,8.1586
1650.0,4.2500,3.1500,8.1177
1700.0,4.3700,3.0200,8.0769
1750.0,4.3300,2.9800,8.1586
1800.0,4.2500,3.0200,8.1177
1850.0,4.2500,3.0600,8.0769
1900.0,4.3700,3.1100,8.0769
1950.0,4.2900,3.1100,8.0496
2000.0,4.2500,3.0600,8.1177
2050.0,4.2100,2.9800,8.0769
2100.0,4.2900,3.1100,8.0769
2150.0,4.2500,3.1100,8.0496
2200.0,4.2900,3.1500,8.1177
2250.0,4.2900,3.1100,8.0769
2300.0,4.2500,2.8700,8.0496
2350.0,4.2500,3.0600,8.1586
2400.0,4.3300,3.1700,8.0769
2450.0,4.2100,3.1700,8.1586
2500.0,4.2100,3.0200,8.1177
2550.0,4.4000,2.7200,8.1177
2600.0,4.4000,2.7200,8.1177
2650.0,4.3700,2.9800,8.0769
2700.0,4.1800,3.1100,8.1177
2750.0,4.1400,3.1500,8.1177
2800.0,4.2900,3.0600,8.0088
2850.0,4.4400,3.0600,8.0769
2900.0,4.3700,3.1100,8.0496
2950.0,4.3300,2.9100,8.0496
3000.0,4.2500,2.9800,8.0496
3050.0,4.2900,3.1700,8.0496
3100.0,4.2900,3.1100,8.0496
3150.0,4.3300,2.9600,8.0769
3200.0,4.2500,3.0600,8.1586
3250.0,4.3700,3.1100,8.0088
3300.0,4.4000,3.0600,8.0088
3350.0,4.3700,3.0600,8.0769
3400.0,4.3300,3.1100,8.0496
3450.0,4.3300,3.1100,8.0088
3500.0,4.3300,3.0600,8.0496
3550.0,4.2900,3.0200,8.0088
3600.0,4.2900,3.0200,8.1177
3650.0,4.2900,3.0200,8.0769
3700.0,4.2900,3.1100,8.0769
3750.0,4.3700,3.0600,8.0496
3800.0,4.3300,3.1100,8.0496
3850.0,4.2500,3.0600,8.0769
3900.0,4.2900,3.0600,8.0496
3950.0,4.3300,3.0200,8.0496
4000.0,4.2500,3.0200,8.0496
4050.0,4.2500,3.0600,8.0769
4100.0,4.2500,2.9600,8.0496
4150.0,4.2900,3.0200,8.0769
4200.0,4.2500,3.0600,8.1177
4250.0,4.2900,3.0200,8.1177
4300.0,4.2100,3.0200,8.0769
4350.0,4.2100,3.0200,8.1586
4400.0,4.2100,2.9800,8.1995
4450.0,4.2100,2.9800,8.1177
4500.0,4.2500,3.0600,8.0769
4550.0,4.2100,3.0600,8.1177
4600.0,4.1800,3.0200,8.1177
4650.0,4.2100,3.0200,8.1177
4700.0,4.2100,3.0200,8.0769
4750.0,4.2500,3.0200,8.1995
4800.0,4.1400,2.9800,8.1995
4850.0,4.1400,2.9800,8.1586
4900.0,4.1800,2.9800,8.0769
4950.0,4.1800,3.0200,8.1177
5000.0,4.1400,3.0200,8.1177
5050.0,4.1800,3.0200,8.0769
5100.0,4.2900,2.9600,8.1995
5150.0,4.1800,3.0200,8.1177
5200.0,4.2500,2.9800,8.1177
5250.0,4.1400,2.9600,8.1995
5300.0,4.1400,2.9600,8.1586
5350.0,4.1000,3.0200,8.0496
5400.0,4.4000,3.1100,7.9679
5450.0,3.9900,3.2600,8.4991
5500.0,4.2900,2.9800,8.1177
5550.0,3.7900,2.3400,8.1177
5600.0,4.2500,3.1500,8.2812
