timestamp,acc_x,acc_y,acc_z
0.0,-0.9500,5.0100,1.6481
50.0,-1.6100,5.2800,0.5721
100.0,-3.1700,7.5000,-0.0409
150.0,-0.4600,18.0900,-1.1169
200.0,7.1600,17.4300,0.4222
250.0,3.9900,13.6300,3.1735
300.0,1.5400,11.9600,0.8853
350.0,2.4500,8.7700,1.6072
400.0,1.3100,5.0100,0.6946
450.0,0.3100,2.4900,-1.4574
500.0,1.9900,2.7600,0.9943
550.0,3.9100,8.5800,2.3427
600.0,6.3600,10.6500,1.5391
650.0,-3.5700,19.5300,1.1169
700.0,-1.8800,16.9300,7.5457
750.0,2.9600,12.2600,1.9477
800.0,0.1500,7.6300,2.0703
850.0,-1.4200,3.7900,0.0409
900.0,0.5300,2.1800,0.9943
950.0,-0.8400,5.2200,2.1520
1000.0,-1.3800,8.5000,1.9205
1050.0,-1.6900,6.5100,1.0760
1100.0,-4.2900,17.2400,1.3757
1150.0,4.1400,9.6600,-1.4982
1200.0,8.5000,14.2100,2.9148
1250.0,4.2100,15.0200,3.2961
1300.0,2.6800,13.4400,1.6481
1350.0,-0.8000,7.5900,1.1850
1400.0,-1.6900,-0.8900,-2.9556
1450.0,-0.8000,-0.6900,0.1090
1500.0,1.1800,4.2100,-1.5255
1550.0,1.0800,2.6400,3.0646
1600.0,7.6300,16.9700,8.8124
1650.0,-3.0200,17.4300,7.1234
1700.0,-0.7600,12.2600,2.1112
1750.0,0.1900,10.6100,-1.1850
1800.0,4.2500,17.5800,2.7922
1850.0,-1.1400,8.9600,-1.4165
1900.0,-1.2300,8.1200,0.0409
1950.0,2.0700,2.4500,0.5040
2000.0,1.5000,2.8300,3.0646
2050.0,5.2800,8.4700,1.2258
2100.0,4.3700,7.8200,0.6946
2150.0,-3.6800,18.6600,2.2201
2200.0,-1.1800,18.0900,6.4697
2250.0,6.1700,10.8800,4.1814
2300.0,-0.0800,4.2900,1.2258
2350.0,-0.2300,2.2200,1.4574
2400.0,0.0000,0.5700,0.7627
2450.0,1.1400,10.9500,2.6423
2500.0,-3.2600,15.4700,4.0589
2550.0,-0.1900,9.4300,-7.7772
2600.0,3.5300,17.2700,-0.8445
2650.0,0.5700,12.6800,0.2724
2700.0,1.8800,10.5700,0.3814
2750.0,-1.1400,8.5000,-0.0409
2800.0,0.8900,7.0600,1.7979
2850.0,5.0900,7.1600,0.8853
2900.0,5.1800,9.7200,1.2258
2950.0,2.2200,8.5800,0.6946
3000.0,0.2300,16.1700,-0.9126
3050.0,-3.3000,19.5000,0.3405
3100.0,0.3100,12.9100,2.6423
3150.0,3.2100,8.3500,0.0817
3200.0,0.1100,4.7100,-0.6538
3250.0,0.8000,1.0800,1.2258
3300.0,1.0400,5.3300,2.5334
3350.0,1.0400,14.6700,7.4367
3400.0,-1.1200,13.9100,4.3313
3450.0,0.0800,9.3400,-0.4631
3500.0,2.3400,10.7600,-2.8739
3550.0,1.5700,10.7600,-0.9943
3600.0,-1.0400,7.5000,0.8853
3650.0,-1.1200,8.3100,-2.6015
3700.0,2.7900,8.2000,0.2724
3750.0,4.8200,8.8500,1.0351
3800.0,3.8700,11.4500,0.4631
3850.0,3.1500,13.7600,0.2315
3900.0,0.6100,11.1100,-1.1169
3950.0,-4.4400,15.3200,-1.4982
4000.0,-1.3300,16.1700,3.1463
4050.0,2.4100,9.8100,1.1441
4100.0,2.6400,5.4800,-0.4222
4150.0,0.2300,3.2600,0.6538
4200.0,1.7600,5.0100,2.5334
4250.0,0.5000,7.8900,3.1463
4300.0,0.7200,8.6900,5.8976
4350.0,-1.2700,10.4200,5.5980
4400.0,3.3800,13.7200,-2.8739
4450.0,3.1100,5.9400,-2.4925
4500.0,-1.6500,15.8300,-0.4222
4550.0,-0.6900,8.6900,1.2258
4600.0,-1.3100,6.5500,-0.1907
4650.0,1.5400,4.7900,-0.5312
4700.0,4.0200,3.9500,1.8796
4750.0,5.9400,9.3400,4.0180
4800.0,5.0100,7.6700,0.4222
4850.0,-1.7600,14.2100,2.5334
4900.0,-5.0100,19.3400,3.8273
4950.0,-5.0100,19.3400,3.8273
5000.0,6.0500,12.6800,6.9328
5050.0,3.5700,5.9400,1.4574
5100.0,-0.9100,1.5400,-0.1498
5150.0,-0.3400,0.0400,1.0351
5200.0,1.8400,3.1700,4.6037
5250.0,-3.0200,15.1700,1.7570
5300.0,-7.0100,17.5800,-2.6423
5350.0,7.0100,15.7000,-0.6946
5400.0,2.0700,12.5700,1.5391
5450.0,-0.5300,9.8500,2.2610
5500.0,1.9200,5.7900,0.8853
5550.0,1.1400,4.3300,1.6072
5600.0,2.4100,2.7200,0.9943
5650.0,3.3400,8.3900,3.4868
5700.0,2.9100,10.3800,0.8853
5750.0,-5.7900,19.4600,7.4367
5800.0,3.1500,14.2100,6.2109
5850.0,6.5100,8.6600,3.9499
5900.0,0.5700,4.4400,0.7219
5950.0,-2.1400,1.6900,1.1169
6000.0,0.8900,1.7600,1.4574
6050.0,1.1200,4.1000,3.6366
6100.0,-2.5600,11.5000,2.7922
6150.0,-7.0100,14.8200,1.2667
6200.0,3.5700,12.2200,-4.0180
6250.0,4.6700,18.0500,1.3757
6300.0,1.9500,11.5600,1.5391
6350.0,-1.2700,8.5400,-0.7219
6400.0,0.2700,4.3300,-0.6538
6450.0,2.9100,3.0200,-0.0409
6500.0,4.5600,4.9900,2.2610
6550.0,7.2500,11.1400,2.1112
6600.0,2.3700,14.6300,2.9829
6650.0,-5.0900,19.5700,2.6423
6700.0,4.7900,15.7900,5.5571
6750.0,3.6000,10.8000,3.4051
6800.0,-1.1800,4.1400,0.3814
6850.0,0.1900,-0.2300,0.3133
6900.0,1.9900,-0.6100,0.9943
6950.0,1.0400,5.7100,3.5958
7000.0,-1.1800,12.4900,5.8976
7050.0,-6.1700,12.1500,3.4459
7100.0,0.8000,12.1100,-6.4697
7150.0,5.7900,14.8600,-0.5721
7200.0,0.3800,11.7500,-0.0000
7250.0,-1.8800,8.0100,-0.6129
7300.0,0.9900,5.4800,0.1498
7350.0,1.2300,5.3300,0.9943
7400.0,7.1600,7.6700,1.6072
7450.0,3.3000,7.5000,2.5334
7500.0,-2.7200,16.7400,0.2315
7550.0,-4.0200,19.4600,3.4459
7600.0,8.6200,12.5700,5.4754
7650.0,1.9900,8.9200,3.1735
7700.0,0.0000,2.1100,0.1498
7750.0,0.3400,-2.3700,-0.6946
7800.0,2.6800,-0.8900,1.2258
7850.0,-1.2700,13.9100,4.0180
7900.0,-3.6400,3.5700,5.5571
7950.0,-1.1400,16.0900,-3.9499
8000.0,4.2100,16.9700,-0.8036
8050.0,1.4200,14.2900,0.9943
8100.0,0.3800,10.9200,0.7219
8150.0,0.9900,8.7300,0.6129
8200.0,0.3800,4.8200,-0.1907
8250.0,2.8700,5.2800,0.5040
8300.0,5.2200,5.9000,1.6072
8350.0,5.9000,9.0400,2.5334
8400.0,4.4400,12.1800,0.3814
8450.0,-8.0500,17.6900,-0.5721
8500.0,0.9500,19.4600,5.2438
8550.0,6.2800,11.8000,3.5277
8600.0,0.9300,7.3500,0.1907
8650.0,-0.8400,0.8900,-1.0351
8700.0,1.1400,-0.8000,-0.8036
8750.0,1.8400,0.7600,0.8445
8800.0,-1.4600,12.3400,6.0883
8850.0,-3.5700,9.1500,5.3664
8900.0,-5.3300,18.3900,6.0474
8950.0,3.9100,6.0200,-7.3958
9000.0,2.4500,12.0700,-0.5040
9050.0,1.9500,13.4400,-1.2667
9100.0,0.3800,6.7400,0.6538
9150.0,-2.3400,7.7800,-2.8739
9200.0,3.2100,7.9300,1.7570
