timestamp,a_x,a_y,a_z
10000,0.11,-0.04,9.81
10000,0.17,-0.06,9.81
10000,3.12,0.45,9.28
10000,4.68,0.67,8.91
10000,3.95,0.55,9.07
10000,2.84,0.37,9.35
10000,1.76,0.21,9.60
10000,1.03,0.11,9.74
10000,0.61,0.04,9.79
10000,0.37,0.00,9.81
10000,0.23,-0.02,9.82
10000,0.14,-0.03,9.82
10000,0.10,-0.04,9.82
10000,0.07,-0.04,9.82
10000,0.05,-0.03,9.82
10000,0.04,-0.03,9.82
10000,0.03,-0.02,9.82
10000,0.02,-0.02,9.82
10000,0.02,-0.01,9.82
10000,0.01,-0.01,9.82
10000,0.01,-0.01,9.82
10000,0.01,0.00,9.82
10000,0.00,0.00,9.82
10000,0.00,0.00,9.82
10000,0.00,0.00,9.82
10000,0.00,0.00,9.82
10000,0.00,0.00,9.82
10000,-0.01,0.00,9.82
10000,-0.01,0.00,9.82
10000,-0.01,0.00,9.82
