timestamp,a_x,a_y,a_z
10000,0.09,-0.03,9.81
10000,0.14,-0.05,9.81
10000,1.82,0.21,9.63
10000,2.97,0.38,9.41
10000,3.24,0.44,9.35
10000,2.88,0.39,9.42
10000,2.31,0.29,9.52
10000,1.74,0.20,9.62
10000,1.28,0.13,9.70
10000,0.93,0.07,9.75
10000,0.68,0.03,9.78
10000,0.50,0.00,9.80
10000,0.37,-0.02,9.81
10000,0.27,-0.03,9.81
10000,0.21,-0.04,9.81
10000,0.17,-0.04,9.81
10000,0.14,-0.04,9.81
10000,0.12,-0.03,9.82
10000,0.10,-0.03,9.82
10000,0.09,-0.03,9.82
10000,0.08,-0.02,9.82
10000,0.07,-0.02,9.82
10000,0.06,-0.02,9.82
10000,0.06,-0.02,9.82
10000,0.05,-0.01,9.82
10000,0.05,-0.01,9.82
10000,0.04,-0.01,9.82
10000,0.04,-0.01,9.82
10000,0.04,-0.01,9.82
10000,0.03,-0.01,9.82
